"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"72";"69";"contact_power_3";"A";"pending";"215.44";"372.1";"1192.0";"871.0";"";"5";"6";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"73";"69";"contact_power_3";"A";"pending";"374.18";"372.1";"1192.0";"871.0";"";"5";"6";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"74";"69";"contact_power_3";"A";"pending";"532.92";"372.1";"1192.0";"871.0";"";"5";"6";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"75";"71";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"59c";"26";"= 418";"+ 400A";"";"TEXPAN filter rotary valve";"418M2"
"76";"72";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"59d";"26";"= 418";"+ 400A";"";"TEXPAN filter screw conveyor";"418M3"
"77";"73";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"61";"26";"= 418";"+ 400A";"forming machine D";"transversal screw conveyor belt";"418M30"
"78";"74";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"62";"26";"= 418";"+ 400A";"forming machine D";"injection screw";"418M31"
"79";"75";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"63";"26";"= 418";"+ 400A";"forming machine D";"recycling conveyor";"418M32"
"80";"76";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"81";"26";"= 418";"+ 400A";"forming machine D";"recycling screw conveyor";"418M33"
"81";"77";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"82";"77";"contact_power_3";"A";"pending";"374.18";"338.08";"1192.0";"871.0";"";"5";"6";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
