"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"72";"90";"Motor_3ph_1";"A";"pending";"170.08";"712.26";"1192.0";"871.0";"+A
-M1";"U1";"V1";"W1";"PE";"P = 4,0 kW
In = 8,8 A
n = 1000 1/min";"73";"29";"= 427";"+ 400A";"press hydraulics";"fan air cooling";"427M1.2"
"73";"92";"Motor_3ph_1";"A";"pending";"170.08";"712.26";"1192.0";"871.0";"+A
-M3";"U1";"V1";"W1";"PE";"P = 55 kW
In = 108 A
n = 1450 1/min";"75";"29";"= 427";"+ 400A";"press";"hydraulics HP - pump";"427M3"
"74";"93";"Motor_3ph_1";"A";"pending";"170.08";"700.92";"1192.0";"871.0";"+A
-M4";"U1";"V1";"W1";"PE";"P = 1,5 kW
In = 3,3 A
n = 1400 1/min";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"75";"94";"Motor_3ph_1";"A";"pending";"170.08";"700.92";"1192.0";"871.0";"+A
-M5";"U1";"V1";"W1";"PE";"P = 1,5 kW
In = 3,3 A
n = 1400 1/min";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"76";"95";"Motor_3ph_1";"A";"pending";"170.08";"712.26";"1192.0";"871.0";"+A
-M8.1";"U1";"V1";"W1";"PE";"P = 2,2 kW
In = 4,7 A";"77";"29";"= 427";"+ 400A";"press hydraulics";"washing pump";"427M8.1"
"77";"96";"Motor_3ph_1";"A";"pending";"170.08";"712.26";"1192.0";"871.0";"+A
-M8.2";"U1";"V1";"W1";"PE";"P = 0,03 kW
In = 0,5 A
n = 2800 1/min";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"78";"97";"Motor_3ph_1";"A";"pending";"170.08";"712.26";"1192.0";"871.0";"+A
-M23";"U1";"V1";"W1";"PE";"P = 5,5 kW
In = 11,8 A
n = 14300 1/min";"79";"29";"= 427";"+ 400A";"press";"exhaust oil mist";"427M23"
"79";"100";"Motor_3ph_1";"A";"pending";"170.08";"712.26";"1192.0";"871.0";"+A
-M28";"U1";"V1";"W1";"PE";"P = 0,18 kW
In = 0,7 A
n = 1340 1/min";"82";"29";"= 427";"+ 400A";"press";"pump roll rod chain belt lubrication";"427M28"
"80";"101";"Motor_3ph_1";"A";"pending";"170.08";"712.26";"1192.0";"871.0";"+A
-M29";"U1";"V1";"W1";"PE";"P = 0,18 kW
In = 0,7 A
n = 1340 1/min";"83";"29";"= 427";"+ 400A";"press";"pump align and press lubrication of chain";"427M29"
"81";"102";"Motor_3ph_1";"A";"pending";"170.08";"712.26";"1192.0";"871.0";"+A
-M30";"U1";"V1";"W1";"PE";"P = 0,2 kW
In = 0,3 A
n = 1/min";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
