"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1060";"134";"X_Simple_UpDown";"A";"pending";"238.11";"519.5";"1192.0";"871.0";"";"PE";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"1061";"134";"X_Simple_UpDown";"A";"pending";"873.07";"247.38";"1192.0";"871.0";"";"I 4";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"1062";"135";"X_Simple_UpDown";"A";"pending";"215.43";"587.54";"1192.0";"871.0";"";"C M11";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"1063";"135";"X_Simple_UpDown";"A";"pending";"192.75";"587.54";"1192.0";"871.0";"";"C M11";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"1064";"135";"X_Simple_UpDown";"A";"pending";"170.07";"587.54";"1192.0";"871.0";"+C";"M11";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"1065";"135";"X_Simple_UpDown";"A";"pending";"238.11";"587.54";"1192.0";"871.0";"";"C PE";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"1066";"135";"X_Simple_UpDown";"A";"pending";"215.43";"519.5";"1192.0";"871.0";"";"6";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"1067";"135";"X_Simple_UpDown";"A";"pending";"192.75";"519.5";"1192.0";"871.0";"";"5";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"1068";"135";"X_Simple_UpDown";"A";"pending";"170.07";"519.5";"1192.0";"871.0";"";"4";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"1069";"135";"X_Simple_UpDown";"A";"pending";"238.11";"519.5";"1192.0";"871.0";"";"PE";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"1070";"135";"X_Simple_UpDown";"A";"pending";"873.07";"247.38";"1192.0";"871.0";"=41";"I 5";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"1071";"136";"X_Simple_UpDown";"A";"pending";"215.43";"587.54";"1192.0";"871.0";"";"C M13";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1072";"136";"X_Simple_UpDown";"A";"pending";"192.75";"587.54";"1192.0";"871.0";"";"C M13";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1073";"136";"X_Simple_UpDown";"A";"pending";"170.07";"587.54";"1192.0";"871.0";"+C";"M13";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1074";"136";"X_Simple_UpDown";"A";"pending";"238.11";"587.54";"1192.0";"871.0";"";"C PE";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1075";"136";"X_Simple_UpDown";"A";"pending";"215.43";"519.5";"1192.0";"871.0";"";"9";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1076";"136";"X_Simple_UpDown";"A";"pending";"192.75";"519.5";"1192.0";"871.0";"";"8";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1077";"136";"X_Simple_UpDown";"A";"pending";"170.07";"519.5";"1192.0";"871.0";"";"7";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1078";"136";"X_Simple_UpDown";"A";"pending";"408.19";"587.54";"1192.0";"871.0";"";"T13";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1079";"136";"X_Simple_UpDown";"A";"pending";"362.83";"587.54";"1192.0";"871.0";"+C";"T13";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1080";"136";"X_Simple_UpDown";"A";"pending";"408.19";"496.83";"1192.0";"871.0";"";"4";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1081";"136";"X_Simple_UpDown";"A";"pending";"362.83";"496.83";"1192.0";"871.0";"";"3";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1082";"136";"X_Simple_UpDown";"A";"pending";"430.86";"587.54";"1192.0";"871.0";"";"SE";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1083";"136";"X_Simple_UpDown";"A";"pending";"238.11";"519.5";"1192.0";"871.0";"";"PE";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1084";"136";"X_Simple_UpDown";"A";"pending";"873.07";"247.38";"1192.0";"871.0";"=41";"I 6";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1085";"136";"X_Simple_UpDown";"A";"pending";"430.86";"496.83";"1192.0";"871.0";"";"SE";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"1086";"137";"X_Simple_UpDown";"A";"pending";"215.43";"587.54";"1192.0";"871.0";"";"C M15";"112";"21";"= 414";"+ 400H10";"forming machine C";"distribution belt left";"414M15"
"1087";"137";"X_Simple_UpDown";"A";"pending";"192.75";"587.54";"1192.0";"871.0";"";"C M15";"112";"21";"= 414";"+ 400H10";"forming machine C";"distribution belt left";"414M15"
