"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"68";"34";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"655.57";"1192.0";"871.0";"";"spare";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"69";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"70";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"71";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"72";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"73";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"542.18";"1192.0";"871.0";"";"L5-";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"74";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"655.57";"1192.0";"871.0";"";"L5-";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"75";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"542.18";"1192.0";"871.0";"";"L5.13+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"76";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"655.57";"1192.0";"871.0";"";"L5.13+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"77";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"542.18";"1192.0";"871.0";"";"spare";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"78";"35";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"655.57";"1192.0";"871.0";"";"spare";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"79";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"80";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"81";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"82";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"83";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"542.18";"1192.0";"871.0";"";"L5-";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"84";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"453.54";"655.57";"1192.0";"871.0";"";"L5-";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"85";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"542.18";"1192.0";"871.0";"";"L5.13+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"86";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"532.91";"655.57";"1192.0";"871.0";"";"L5.13+";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"87";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"542.18";"1192.0";"871.0";"";"spare";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"88";"36";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"623.62";"655.57";"1192.0";"871.0";"";"spare";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"89";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"90";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"272.13";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"91";"37";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
