"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"47";"38";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"48";"38";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"49";"38";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5.13+";"L5.13+";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"50";"38";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"51";"39";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3-";"L3-";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"52";"39";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"53";"39";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"54";"39";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5.14+";"L5.14+";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"55";"39";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"56";"39";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"895.75";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"57";"39";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"986.46";"695.25";"1192.0";"871.0";"L5-";"L5-";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"58";"40";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"729.27";"1192.0";"871.0";"L3-";"L3-";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"59";"40";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"729.27";"1192.0";"871.0";"L3.20+";"L3.20+";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"60";"40";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"729.27";"1192.0";"871.0";"L5-";"L5-";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"61";"40";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"729.27";"1192.0";"871.0";"L5.14+";"L5.14+";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
