"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"71";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"748.35";"723.6";"1192.0";"871.0";"=418 +D3 -X";"L4-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"72";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"1009.13";"610.21";"1192.0";"871.0";"=418-XKK4";"L3-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"73";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"1009.13";"723.6";"1192.0";"871.0";"=418 +D4 -X";"L3-";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"74";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"532.91";"213.36";"1192.0";"871.0";"=418-XKK3";"L2.0";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"75";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"532.91";"326.75";"1192.0";"871.0";"=418 +D3 -X";"L2.0";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"76";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"1009.13";"213.36";"1192.0";"871.0";"=418-XKK4";"L02";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"77";"48";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"1009.13";"326.75";"1192.0";"871.0";"=418 +D4 -X";"L02";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"78";"49";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=416-XKK6";"L3-";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"79";"49";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=416 +TEXPAN BOX -X";"L3-";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"80";"56";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"181.42";"304.07";"1192.0";"871.0";"+400CD1 -XP1";"5";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
