"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"60";"24";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"113.39";"695.25";"1192.0";"871.0";"L4.17+";"";"";"6a";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"61";"24";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"226.77";"695.25";"1192.0";"871.0";"L4.18+";"";"";"6a";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"62";"24";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"340.16";"695.25";"1192.0";"871.0";"L4.19+";"";"";"6a";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"63";"24";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L4.20+";"";"";"6a";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"64";"27";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"215.43";"695.25";"1192.0";"871.0";"L5-";"7b.1";"";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"65";"27";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5.11+";"";"";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"66";"27";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"351.5";"695.25";"1192.0";"871.0";"L5.10+";"";"";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"67";"27";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"566.93";"695.25";"1192.0";"871.0";"L5.12+";"";"";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"68";"27";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"680.32";"695.25";"1192.0";"871.0";"L5.13+";"";"";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"69";"27";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"793.7";"695.25";"1192.0";"871.0";"L5.14+";"";"";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"70";"27";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"907.09";"695.25";"1192.0";"871.0";"L5.15+";"";"";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"71";"27";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"1020.47";"695.25";"1192.0";"871.0";"L5.16+";"";"";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"72";"28";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"113.39";"695.25";"1192.0";"871.0";"L5.17+";"";"";"7a";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"73";"28";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"226.77";"695.25";"1192.0";"871.0";"L5.18+";"";"";"7a";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"74";"50";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"215.43";"695.25";"1192.0";"871.0";"L6.0";"8a.1";"";"8";"104";"= 400";"+ 400SPS";"magnetc belt adjustment";"control voltage 0-24VDC";""
