"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"71";"14";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.12";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"72";"14";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.12";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"73";"14";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.12";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"74";"14";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"75";"15";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.13";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"76";"15";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.13";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"77";"15";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.13";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"78";"15";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"79";"16";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.13";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"80";"16";"BusBar_Con_Down";"A";"approved";"192.76";"80.13";"1192.0";"871.0";"1L2.13";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"81";"16";"BusBar_Con_Down";"A";"approved";"215.43";"91.47";"1192.0";"871.0";"1L3.13";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"82";"16";"BusBar_Con_Down";"A";"approved";"238.11";"488.32";"1192.0";"871.0";"PE";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"83";"17";"BusBar_Con_Down";"A";"approved";"170.08";"68.8";"1192.0";"871.0";"1L1.13";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
