"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"74";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"521.57";"587.54";"1192.0";"871.0";"";"L5.12+";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"75";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"600.94";"474.15";"1192.0";"871.0";"";"spare";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"76";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"600.94";"587.54";"1192.0";"871.0";"";"spare";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"77";"33";"X_Simple_V_3_Left_SZ";"A";"approved";"192.76";"587.54";"1192.0";"871.0";"";"L3-";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"78";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"542.18";"1192.0";"871.0";"";"L3-";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"79";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"655.57";"1192.0";"871.0";"";"L3-";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"80";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"81";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"82";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"83";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"84";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"542.18";"1192.0";"871.0";"";"L5-";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"85";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"655.57";"1192.0";"871.0";"";"L5-";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"86";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"542.18";"1192.0";"871.0";"";"L5.12+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"87";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"655.57";"1192.0";"871.0";"";"L5.12+";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"88";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"542.18";"1192.0";"871.0";"";"spare";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"89";"34";"X_Simple_V_3_Left_SZ";"A";"approved";"646.3";"655.57";"1192.0";"871.0";"";"spare";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"90";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"542.18";"1192.0";"871.0";"";"L3-";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"91";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"215.43";"655.57";"1192.0";"871.0";"";"L3-";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"92";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"542.18";"1192.0";"871.0";"";"L3.10+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"93";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"655.57";"1192.0";"871.0";"";"L3.10+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"94";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"542.18";"1192.0";"871.0";"";"L3.20+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"95";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"655.57";"1192.0";"871.0";"";"L3.20+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"96";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"542.18";"1192.0";"871.0";"";"L5-";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"97";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"655.57";"1192.0";"871.0";"";"L5-";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"98";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"542.18";"1192.0";"871.0";"";"L5.13+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"99";"35";"X_Simple_V_3_Left_SZ";"A";"approved";"566.93";"655.57";"1192.0";"871.0";"";"L5.13+";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
