"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"link";"plc";"Name";"var";"description";"pin";"ch";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"42";"78";"O_SPS";"C";"approved";"805.04";"553.52";"1192.0";"871.0";"A59.5";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"39";"CCHH 2299";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"43";"78";"O_SPS";"C";"approved";"941.1";"553.52";"1192.0";"871.0";"A59.6";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"40";"CCHH 3300";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"44";"78";"O_SPS";"C";"approved";"1077.17";"553.52";"1192.0";"871.0";"A59.7";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"41";"CCHH 3311";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"45";"78";"O_SPS";"C";"approved";"260.79";"734.94";"1192.0";"871.0";"A71.5";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"39";"CCHH 2299";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"46";"78";"O_SPS";"C";"approved";"124.72";"734.94";"1192.0";"871.0";"A68.7";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"11";"CCHH 77";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"47";"78";"O_SPS";"C";"approved";"396.85";"734.94";"1192.0";"871.0";"A71.6";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"40";"CCHH 3300";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"48";"78";"O_SPS";"C";"approved";"532.91";"734.94";"1192.0";"871.0";"A71.7";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"41";"CCHH 3311";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"49";"78";"O_SPS";"C";"approved";"668.98";"734.94";"1192.0";"871.0";"A75.3";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"37";"CCHH 2277";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"50";"78";"O_SPS";"C";"approved";"805.04";"734.94";"1192.0";"871.0";"A75.4";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"38";"CCHH 2288";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"51";"78";"O_SPS";"C";"approved";"941.1";"734.94";"1192.0";"871.0";"A75.5";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"39";"CCHH 2299";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"52";"78";"O_SPS";"C";"approved";"1077.17";"734.94";"1192.0";"871.0";"A75.6";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"40";"CCHH 3300";"plc_DO";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"53";"79";"O_SPS";"C";"approved";"124.72";"190.68";"1192.0";"871.0";"A75.7";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"41";"CCHH 3311";"plc_DO";"17h";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"54";"93";"O_SPS";"C";"approved";"260.79";"190.68";"1192.0";"871.0";"A31.5";"/20b.7";"PLC-II";"-EG2.2/8";"Spare";"spare";"39";"CCHH 2299";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"55";"93";"O_SPS";"C";"approved";"124.72";"190.68";"1192.0";"871.0";"A31.4";"/20b.7";"PLC-II";"-EG2.2/8";"Spare";"spare";"38";"CCHH 2288";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"56";"93";"O_SPS";"C";"approved";"396.85";"190.68";"1192.0";"871.0";"A45.7";"/20c.7";"PLC-II";"-EG2.2/12";"Spare";"spare";"20";"CCHH 1155";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"57";"93";"O_SPS";"C";"approved";"532.91";"190.68";"1192.0";"871.0";"A47.7";"/20c.7";"PLC-II";"-EG2.2/12";"Spare";"spare";"41";"CCHH 3311";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"58";"93";"O_SPS";"C";"approved";"668.98";"190.68";"1192.0";"871.0";"A49.7";"/20d.0";"PLC-II";"-EG2.2/13";"Spare";"spare";"20";"CCHH 1155";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"59";"93";"O_SPS";"C";"approved";"805.04";"190.68";"1192.0";"871.0";"A50.0";"/20d.0";"PLC-II";"-EG2.2/13";"Spare";"spare";"25";"CCHH 1166";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"60";"93";"O_SPS";"C";"approved";"941.1";"190.68";"1192.0";"871.0";"A50.2";"/20d.0";"PLC-II";"-EG2.2/13";"Spare";"spare";"27";"CCHH 1188";"plc_DO";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
