"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Page";"Sheets";"=";"+";"txt_1";"txt_2";"txt_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"73";"73";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"17b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"17b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"74";"74";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"17c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"17c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"75";"75";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"17d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"17d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"76";"76";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"17e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"17e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"77";"77";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"78";"78";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"79";"79";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"17h";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";"";"17h";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"80";"80";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"18";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-II";"";"18";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-II";""
"81";"81";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"19";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"19";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"82";"82";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"19a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"19a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"83";"83";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"19b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"19b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"84";"84";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"19c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"19c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"85";"85";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"19d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"19d";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"86";"86";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"19e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"19e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"87";"87";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"19f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"19f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"88";"88";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"20";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"20";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"89";"89";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"20a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"20a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"90";"90";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"20b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"20b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"91";"91";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"20c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";"";"20c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
