"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"41";"46";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"38";"17";"= 413";"+ 400A";"forming machine B";"transversal screw conveyor belt";"413M30"
"42";"47";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"39";"17";"= 413";"+ 400A";"forming machine B";"injection screw";"413M31"
"43";"48";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"40";"17";"= 413";"+ 400A";"forming machine B";"recycling conveyor";"413M32"
"44";"49";"contact_power_2";"A";"approved";"192.77";"236.03";"1192.0";"871.0";"";"3";"4";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"45";"49";"contact_power_2";"A";"approved";"351.51";"236.03";"1192.0";"871.0";"";"3";"4";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"46";"49";"contact_power_2";"A";"approved";"192.77";"326.74";"1192.0";"871.0";"";"3";"4";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"47";"49";"contact_power_2";"A";"approved";"351.51";"326.74";"1192.0";"871.0";"";"3";"4";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"48";"50";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"49";"50";"contact_power_2";"A";"approved";"328.83";"338.08";"1192.0";"871.0";"";"3";"4";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"50";"51";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"51";"51";"contact_power_2";"A";"approved";"328.83";"338.08";"1192.0";"871.0";"";"3";"4";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"52";"52";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"53";"53";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"54";"54";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
"55";"55";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"56";"56";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"57";"57";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"58";"58";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"59";"59";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16"
"60";"60";"contact_power_2";"A";"approved";"192.77";"236.03";"1192.0";"871.0";"";"3";"4";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"61";"60";"contact_power_2";"A";"approved";"351.51";"236.03";"1192.0";"871.0";"";"3";"4";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"62";"60";"contact_power_2";"A";"approved";"192.77";"326.74";"1192.0";"871.0";"";"3";"4";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"63";"60";"contact_power_2";"A";"approved";"351.51";"326.74";"1192.0";"871.0";"";"3";"4";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"64";"62";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"65";"62";"contact_power_2";"A";"approved";"408.2";"338.08";"1192.0";"871.0";"";"3";"4";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"66";"63";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"67";"64";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21"
"68";"65";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"56";"26";"= 418";"+ 400A";"forming machine D";"transport belt";"418M22"
"69";"66";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"57";"26";"= 418";"+ 400A";"forming machine D";"left longitudinal screw conveyor";"418M23"
"70";"67";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"58";"26";"= 418";"+ 400A";"forming machine D";"right longitudinal screw conveyor";"418M24"
"71";"68";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"59";"26";"= 418";"+ 400A";"forming machine D";"cleaning brush transport belt";"418M26"
"72";"69";"contact_power_2";"A";"approved";"192.77";"372.1";"1192.0";"871.0";"";"3";"4";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"73";"69";"contact_power_2";"A";"approved";"351.51";"372.1";"1192.0";"871.0";"";"3";"4";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"74";"69";"contact_power_2";"A";"approved";"510.25";"372.1";"1192.0";"871.0";"";"3";"4";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"75";"71";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"59c";"26";"= 418";"+ 400A";"";"TEXPAN filter rotary valve";"418M2"
"76";"72";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"59d";"26";"= 418";"+ 400A";"";"TEXPAN filter screw conveyor";"418M3"
"77";"73";"contact_power_2";"A";"approved";"192.77";"338.08";"1192.0";"871.0";"";"3";"4";"61";"26";"= 418";"+ 400A";"forming machine D";"transversal screw conveyor belt";"418M30"
